indice_tiempo,serie_original,serie_desestacionalizada,serie_tendencia_ciclo
2016-01-01,117.05119421077302,132.705007671272,132.414130091014
2016-02-01,118.90029357259574,138.326987137266,131.705683273103
2016-03-01,136.80623010580314,133.308856827375,130.786668932575
2016-04-01,132.0696490854989,131.062048037947,129.759980400302
2016-05-01,132.12673005161108,127.636794670275,128.773848961466
2016-06-01,124.9916505365282,125.527475006505,127.97114877877
2016-07-01,126.76147447449927,126.994565672762,127.43889983538
2016-08-01,133.7329827733621,127.456697670752,127.190361456214
2016-09-01,135.51789212141713,128.84632754387,127.177546129206
2016-10-01,133.34114128281072,125.48109351011,127.310294430955
2016-11-01,134.73703178156455,128.755584857353,127.529343542649
2016-12-01,124.08230099201045,127.899097830927,127.820470115279
2017-01-01,115.72788011075902,129.663942992164,128.217229557728
2017-02-01,109.43840116663539,126.552032509043,128.787687479816
2017-03-01,135.7397555654156,131.072255692464,129.588339514652
2017-04-01,127.06229310335894,126.919578106675,130.626933186171
2017-05-01,137.32629188497592,131.890858049911,131.812022314085
2017-06-01,134.50955603897785,135.481249512127,133.004546654602
2017-07-01,135.52441430007988,135.08965564532,134.051946922531
2017-08-01,143.01220222320006,135.366199445897,134.829558036513
2017-09-01,140.47537228449835,134.917539429736,135.275622115641
2017-10-01,142.91248117324935,133.94098586294,135.394028544795
2017-11-01,141.4719289560601,135.222329093735,135.224229629312
2017-12-01,126.4041221015147,132.594468826119,134.825819180111
2018-01-01,120.49780228751953,134.081090416108,134.220253851575
2018-02-01,116.46280263757104,134.03491342739,133.385326862717
2018-03-01,137.857682343072,133.969900211901,132.270926210495
2018-04-01,132.08326549636328,131.336969158121,130.847735223507
2018-05-01,135.86909443648267,129.752483641483,129.134951797631
2018-06-01,123.7430914840396,126.181426754306,127.206280829683
2018-07-01,126.81888457169882,125.779952477023,125.165266201392
2018-08-01,134.20960266446014,126.245659353741,123.17298555754
2018-09-01,122.819662424568,119.182368752522,121.387764662053
2018-10-01,130.94052368990788,122.023252202168,119.933048093126
2018-11-01,121.7876918360894,116.357656011247,118.868233525799
2018-12-01,107.65990645021546,113.362625709331,118.182157909611
2019-01-01,107.07777317886702,118.51093229133,117.810190072102
2019-02-01,106.7152823129565,122.0186426784,117.673559782692
2019-03-01,118.49666853086994,116.004540379991,117.691699791301
2019-04-01,120.39654003865624,119.267530163254,117.801976153735
2019-05-01,126.50359405798827,120.106504761388,117.973873689141
2019-06-01,114.85607044457974,118.522106461924,118.197331673257
2019-07-01,124.6991744283926,123.06448370271,118.460073203866
2019-08-01,125.61985203903316,119.048547202904,118.734787062807
2019-09-01,116.61344989883803,112.997906614252,118.976886525568
2019-10-01,127.9782006405424,118.642889256722,119.154416135364
