"Table 6.17B. Corporate Profits Before Tax by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"26","            Food and kindred products",1618,1568,1886,1672,1630,1776,1739,2007,1953,1901,2119,2400,2364,2426,2427,2757,2839,3081,3492,3264,3509,3528,3742,3958,3769,4948,5755,7547,7677,7859,8218,7897,9005,8737,8087,8161,7873,8960,7867,11389
"27","            Tobacco manufactures",244,263,292,304,298,358,344,406,427,453,522,567,591,646,640,668,647,652,690,739,797,843,951,1044,991,894,978,1234,1470,1643,2083,2207,2280,2170,2401,2930,3829,2938,2711,1722
"28","            Textile mill products",1508,666,1220,978,524,534,343,603,608,503,434,764,672,591,707,736,908,1141,1109,946,1189,1060,930,981,1112,1382,1009,778,1330,1529,1985,1805,1551,1459,1057,1835,1346,1344,2217,2244
"29","            Apparel and other textile products",309,184,315,185,202,186,188,245,244,206,226,308,304,355,425,431,533,636,765,788,913,819,769,876,1123,1223,982,1309,1504,1819,1755,1657,1957,2057,2146,2787,1863,1710,1985,1883
"30","            Paper and allied products",808,568,1016,1366,979,981,956,1172,1381,1085,938,1176,1059,1009,1020,1031,1127,1307,1561,1341,1530,1651,1310,1221,1771,2676,3445,2496,3302,3255,3720,4891,3774,3660,3246,3330,4479,3802,4200,6395
"31","            Printing and publishing",634,578,628,668,679,699,686,884,937,952,851,1075,1071,1042,1137,1251,1576,1829,2121,1975,2154,2306,2075,2301,2562,2952,3109,3470,4138,5134,5880,5882,5693,5952,5822,6808,7760,8386,8925,9930
"32","            Chemicals and allied products",1641,1582,2663,2879,2311,2426,2424,3138,3202,3205,2814,3794,3551,3560,3599,4017,4469,5122,5473,4854,5674,5323,4897,5192,6124,7684,9011,8386,10374,10044,10638,11412,10128,12056,8809,10462,11760,9705,9318,18360
"33","            Petroleum and coal products",2909,1866,2411,2804,2356,2880,2783,3161,3405,2891,2199,2671,2728,2357,2309,2297,2496,3021,3522,4029,3935,3660,4041,4016,3577,6221,12014,10738,14216,14010,16957,28092,37438,42239,35234,24859,19098,19578,-8666,32
"34","            Rubber and miscellaneous plastics products",247,165,455,535,404,416,338,485,485,425,435,548,458,507,536,539,600,664,802,786,1040,983,588,952,1166,1399,1305,1180,1419,1841,1849,1839,1316,1906,1692,2332,2576,2814,2045,2236
"35","            Leather and leather products",139,96,166,118,131,119,127,161,149,147,126,168,139,138,159,179,197,234,260,285,318,244,204,249,243,236,230,346,542,436,587,619,799,791,748,645,510,386,244,564
