"Table 1.1. Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"10","      Nonresidential",38.3,38.9,40.3,40.7,42.7,42.3,40.0,34.7,39.8,47.4,47.7,54.5,57.9,60.4,62.2,65.6,81.6,120.6,158.6,180.7,198.3,201.4,212.0,212.9,198.9,210.0,235.7,253.9,260.5,274.5,301.1,334.5,351.6,371.3,382.4,398.2,420.5,449.5,475.6,501.8,536.8,582.0,632.3,688.1,760.5,847.8,917.3,1000.3,1132.6,1384.7,1452.8,1536.0,1630.9,1791.7,2028.9,2320.8,2549.3,2701.3,2773.3,2928.0,3039.6,3213.7,3385.6,3563.5,3753.2,3940.9,4071.3,4239.5,4417.8,4652.0,4869.7,5047.1,5271.2,5492.1,5798.0,6111.4,6359.8,6641.1,6922.0,7673.3,8380.8,9262.1,10010.1,10702.1,10760.4,11184.7,11795.5,12175.1,12572.0,12854.9,13041.1,13407.2,13936.5,14614.2
"11","        Equipment",2.6,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.5,2.6,2.7,3.0,3.1,3.3,3.7,7.1,21.0,46.5,67.4,78.5,70.7,60.0,50.2,42.4,38.4,42.4,49.0,56.1,62.8,68.3,72.4,74.7,76.2,80.5,83.5,87.5,94.6,96.7,98.9,100.6,104.3,110.2,114.1,117.7,123.2,123.3,127.7,135.9,149.1,165.0,180.7,198.3,222.5,236.7,260.3,286.7,315.1,345.2,404.3,400.2,413.1,431.0,466.3,498.4,534.7,559.1,585.5,608.9,634.4,641.7,633.9,629.5,639.3,660.8,655.2,650.9,666.8,685.7,711.2,735.3,768.0,803.6,855.2,885.7,923.4,954.8,969.0,979.9,992.4,993.4,1005.6,1022.6,1059.6
"12","        Structures",35.6,36.2,37.7,38.0,40.0,39.7,37.4,32.1,37.1,44.5,44.6,51.3,54.4,56.7,58.3,61.3,73.6,98.3,109.9,109.8,115.5,125.7,146.4,156.6,149.7,163.8,184.6,195.3,193.8,200.1,219.5,246.2,257.9,273.0,277.0,286.7,301.4,319.6,338.3,356.6,384.0,418.6,455.6,499.0,558.0,629.9,691.3,761.8,872.9,1096.7,1138.2,1194.5,1258.6,1378.7,1578.9,1819.6,1992.5,2092.4,2110.8,2182.7,2274.6,2415.0,2538.2,2648.8,2780.9,2907.9,2994.6,3120.0,3262.5,3452.8,3648.7,3826.7,4043.3,4240.2,4503.0,4799.9,5040.4,5285.2,5510.1,6199.5,6842.1,7654.8,8316.4,8919.1,8918.4,9249.1,9800.5,10142.0,10492.1,10747.2,10928.0,11254.2,11725.7,12335.0
"13","        Intellectual property products",0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.9,1.3,2.2,3.5,4.3,5.0,5.5,6.2,6.8,7.7,8.8,9.6,10.5,11.6,13.3,15.9,19.0,22.1,25.0,28.1,31.6,35.3,40.6,46.3,52.2,59.1,66.6,75.1,84.8,94.7,102.6,110.8,123.8,138.9,149.6,160.8,174.1,190.6,213.3,240.9,270.1,293.8,317.3,341.0,364.7,385.6,416.3,448.4,474.0,498.2,517.6,534.0,546.4,564.8,579.2,586.4,598.5,612.6,634.2,656.3,668.5,689.1,726.2,762.6,803.4,839.3,890.1,927.8,956.4,1012.2,1040.2,1064.1,1100.0,1115.3,1119.6,1147.3,1188.3,1219.6
"14","      Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.4,0.6,1.1,1.9,3.0,3.3,3.6,4.3,5.6,5.0,5.1,6.3,7.7,7.2,7.6,10.3,7.3,8.6,9.0,9.8,10.7,11.3,12.1,12.9,13.2,14.0,14.7,15.7,16.5,18.5,20.6,21.9,24.6,27.5,31.1,34.7,38.0,42.5,48.9,56.5,67.3,73.7,80.8,85.7,96.0,99.5,100.4,103.9,113.4,128.6,137.4,141.9,142.8,151.1,161.8,172.6,178.8,186.6,195.1,205.0,217.8,229.6,244.2,257.6,275.7,303.0,332.0,347.0,344.8,335.9,329.8,332.5,337.0,347.6,371.1,384.0,391.9,413.9,426.5,443.5
"15","    Consumer durable goods",35.9,37.2,38.3,38.9,39.2,36.9,32.3,28.5,27.9,27.8,27.8,29.3,30.9,30.6,31.5,34.5,39.9,45.0,49.6,52.7,54.0,61.8,73.3,83.1,91.8,107.5,120.1,127.0,135.1,138.7,148.1,159.1,168.5,172.6,180.2,185.4,188.4,194.7,204.8,215.4,227.9,249.5,271.9,302.0,329.8,354.5,378.0,409.5,454.2,525.8,577.8,635.6,705.1,795.1,895.8,991.2,1061.0,1102.2,1175.0,1269.6,1376.9,1522.0,1652.7,1800.5,1925.8,2039.1,2117.4,2193.3,2302.1,2424.2,2529.3,2628.0,2718.0,2833.8,2991.1,3201.8,3364.3,3526.2,3677.7,3898.2,4106.2,4298.5,4473.9,4565.3,4560.0,4535.4,4644.7,4727.5,4779.6,4859.3,5006.0,5155.3,5302.6,5519.3
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","  Private and government fixed assets",261.7,270.5,277.2,289.2,294.4,281.7,245.5,222.3,236.3,246.0,247.3,275.1,289.9,292.7,298.2,320.5,365.5,424.9,478.7,513.4,554.9,639.7,734.2,780.0,785.1,872.1,957.4,1013.0,1051.3,1100.0,1197.2,1301.6,1369.5,1415.1,1471.2,1520.5,1580.2,1652.8,1717.5,1829.7,1954.3,2119.9,2285.4,2511.4,2744.0,2990.8,3294.5,3621.8,4110.6,4887.7,5277.3,5747.3,6415.5,7261.1,8360.7,9512.5,10490.4,11083.9,11468.9,12140.1,12759.0,13548.2,14342.5,15253.0,16120.6,16885.5,17305.0,18034.2,18937.5,20066.8,21042.0,22046.6,23219.0,24525.4,26101.0,27823.6,29376.5,30805.4,32468.3,35787.7,39374.9,42596.0,44509.5,46019.3,45191.4,46099.4,47690.3,49215.9,51642.8,53723.9,55038.6,57296.1,59806.5,62889.4
"17","      Nonresidential",165.3,170.4,174.5,178.4,179.8,172.5,156.3,142.4,149.1,158.1,158.0,175.9,184.4,185.6,187.7,199.1,232.5,281.1,322.0,345.9,378.5,422.4,477.7,504.5,495.5,545.9,602.0,640.2,664.2,689.5,758.1,840.0,892.2,922.6,956.4,985.1,1024.8,1076.3,1126.2,1191.1,1275.6,1386.3,1503.5,1646.0,1816.3,2009.5,2192.4,2386.1,2693.1,3278.5,3536.6,3816.1,4163.4,4662.0,5342.8,6121.2,6849.4,7290.2,7518.0,7969.1,8372.0,8817.3,9304.7,9899.4,10480.0,11041.3,11345.9,11761.2,12292.1,12964.4,13635.3,14244.5,14995.0,15771.8,16705.5,17783.8,18615.3,19325.4,20031.6,21900.4,23892.5,26055.8,27757.5,29587.7,29103.6,29983.9,31460.6,32515.9,33777.4,35030.8,35686.8,36662.6,38220.0,40088.8
"18","        Equipment",33.7,35.4,36.1,36.7,36.8,35.1,32.1,29.0,28.7,29.0,28.5,30.6,32.9,33.0,33.8,36.4,44.7,59.5,85.4,106.2,122.7,124.0,125.5,130.5,127.0,137.3,151.4,163.9,180.5,191.0,209.5,230.9,247.6,254.2,267.1,276.2,283.6,298.3,309.0,323.7,343.0,374.4,406.4,440.5,477.8,518.0,545.8,582.9,643.0,774.6,881.2,973.2,1089.9,1240.5,1418.6,1630.2,1815.2,1935.1,2015.7,2163.1,2258.2,2377.8,2486.3,2644.4,2799.0,2958.4,3041.3,3129.9,3251.2,3419.4,3600.8,3738.0,3864.7,4024.0,4239.5,4460.5,4564.2,4626.1,4686.0,4937.1,5158.3,5497.2,5755.7,6055.4,6005.9,6147.4,6414.5,6668.7,6877.1,7131.2,7298.1,7457.7,7713.3,8067.3
"19","        Structures",129.6,132.9,136.2,139.3,140.3,134.7,121.4,110.6,117.6,126.1,126.3,141.7,147.5,148.3,149.3,157.8,181.8,214.2,227.5,228.7,243.5,284.3,336.0,356.5,350.1,388.1,428.1,452.1,456.9,469.2,515.7,571.1,601.2,619.9,635.4,649.7,676.0,706.9,737.8,779.1,834.6,902.4,974.2,1067.5,1183.2,1319.3,1461.4,1603.7,1827.9,2253.0,2384.4,2549.2,2753.7,3067.8,3524.0,4036.2,4519.1,4787.3,4881.0,5126.5,5376.5,5647.5,5953.3,6290.5,6639.6,6963.3,7111.3,7371.0,7721.1,8149.6,8561.9,8962.9,9489.0,9999.4,10566.9,11268.3,11921.2,12497.7,13024.4,14533.5,16153.5,17835.7,19088.5,20476.2,19948.1,20535.3,21600.0,22268.7,23133.7,23992.2,24376.4,24994.0,26048.2,27358.5
"20","        Intellectual property products",2.0,2.1,2.2,2.4,2.6,2.7,2.7,2.7,2.7,3.0,3.2,3.6,4.0,4.3,4.6,5.0,6.0,7.4,9.1,11.0,12.3,14.2,16.1,17.5,18.4,20.6,22.4,24.3,26.8,29.3,32.9,38.0,43.4,48.5,53.9,59.2,65.2,71.2,79.5,88.2,98.0,109.6,122.9,137.9,155.3,172.2,185.2,199.5,222.2,250.8,271.1,293.7,319.9,353.7,400.2,454.8,515.1,567.8,621.3,679.5,737.4,792.0,865.0,964.6,1041.4,1119.6,1193.2,1260.4,1319.8,1395.5,1472.5,1543.7,1641.2,1748.4,1899.2,2055.0,2129.9,2201.6,2321.2,2429.8,2580.7,2722.9,2913.3,3056.1,3149.6,3301.1,3446.0,3578.5,3766.5,3907.4,4012.3,4210.8,4458.6,4663.0
"21","      Residential",96.4,100.0,102.7,110.8,114.6,109.2,89.2,79.9,87.2,87.9,89.3,99.2,105.5,107.1,110.5,121.4,133.0,143.7,156.8,167.4,176.4,217.3,256.5,275.5,289.5,326.2,355.4,372.8,387.2,410.6,439.0,461.6,477.3,492.5,514.8,535.4,555.4,576.5,591.3,638.6,678.7,733.5,781.8,865.4,927.7,981.3,1102.2,1235.8,1417.5,1609.3,1740.6,1931.2,2252.0,2599.0,3017.8,3391.3,3641.0,3793.7,3950.9,4171.0,4387.0,4730.9,5037.8,5353.6,5640.7,5844.2,5959.1,6273.0,6645.4,7102.4,7406.8,7802.0,8224.1,8753.6,9395.4,10039.7,10761.2,11480.0,12436.7,13887.3,15482.3,16540.2,16752.0,16431.6,16087.8,16115.6,16229.7,16700.0,17865.4,18693.1,19351.9,20633.6,21586.4,22800.5
"22","  Government fixed assets",38.3,38.9,40.3,40.7,42.7,42.3,40.0,34.7,39.8,47.4,47.7,54.7,58.1,60.7,62.6,66.1,82.7,122.5,161.6,184.0,201.9,205.7,217.6,217.9,204.0,216.3,243.5,261.1,268.1,284.8,308.4,343.1,360.6,381.1,393.1,409.6,432.6,462.4,488.8,515.7,551.5,597.8,648.8,706.6,781.1,869.8,941.9,1027.9,1163.7,1419.4,1490.9,1578.5,1679.7,1848.2,2096.2,2394.5,2630.1,2787.0,2869.3,3027.5,3140.0,3317.6,3499.0,3692.1,3890.7,4082.8,4214.1,4390.6,4579.6,4824.5,5048.5,5233.7,5466.3,5697.1,6015.7,6341.0,6604.0,6898.7,7197.7,7976.3,8712.8,9609.2,10354.9,11038.0,11090.2,11517.2,12132.5,12522.8,12943.2,13238.9,13432.9,13821.1,14363.0,15057.7
"23","    Federal",8.9,8.8,8.6,8.3,8.9,8.4,7.8,7.5,8.5,9.4,10.5,12.1,13.4,14.2,14.8,16.8,27.1,57.5,92.5,117.0,135.7,132.7,124.2,116.2,106.7,106.6,120.3,130.5,138.7,149.6,158.3,173.1,182.4,191.4,198.0,205.2,215.7,230.3,240.7,251.0,263.0,278.9,299.8,319.6,343.0,370.2,391.2,424.7,470.8,539.7,572.1,619.5,656.0,722.1,800.2,888.6,960.0,1024.5,1084.6,1182.2,1210.4,1260.1,1318.2,1405.8,1477.7,1541.0,1592.5,1652.1,1704.8,1770.4,1811.0,1833.8,1864.3,1902.5,1967.3,2003.8,2026.4,2077.6,2149.8,2289.1,2432.9,2579.5,2709.8,2828.7,2838.4,2955.8,3061.3,3126.7,3204.8,3248.7,3252.7,3315.4,3405.6,3503.8
"24","    State and local",29.4,30.1,31.7,32.4,33.8,33.9,32.3,27.2,31.3,38.0,37.2,42.5,44.7,46.5,47.7,49.3,55.6,65.0,69.1,67.1,66.2,73.0,93.3,101.7,97.2,109.6,123.2,130.6,129.4,135.2,150.0,170.0,178.2,189.7,195.1,204.4,216.8,232.2,248.1,264.8,288.5,318.9,349.0,387.1,438.0,499.6,550.7,603.1,692.9,879.7,918.8,958.9,1023.7,1126.1,1296.0,1505.9,1670.1,1762.5,1784.7,1845.4,1929.6,2057.5,2180.8,2286.3,2413.0,2541.8,2621.5,2738.4,2874.8,3054.1,3237.5,3399.9,3602.0,3794.6,4048.4,4337.2,4577.6,4821.1,5047.9,5687.2,6279.9,7029.7,7645.1,8209.3,8251.8,8561.4,9071.2,9396.0,9738.4,9990.2,10180.3,10505.7,10957.4,11553.9
